time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 23:54:4.394	WTyyyy(CC4B99849B02)	0.109	-0.044	-0.914	2.014	3.479	149.231	177.53	-2.21	48.26	13.083	-28.525	21.875	-0.01419	-0.89954	-0.43576	-0.02512	22.9	10080.1.3	100
2025-3-13 23:54:4.454	WTyyyy(CC4B99849B02)	0.145	-0.077	-0.894	3.601	-12.573	293.152	178.65	-2.42	25.43	3.800	-29.758	21.758	-0.01419	-0.89954	-0.43576	-0.02512	22.9	10080.1.3	100
2025-3-13 23:54:4.575	WTyyyy(CC4B99849B02)	0.143	-0.066	-0.896	2.747	-7.935	400.269	-179.12	-1.44	-9.31	3.800	-29.758	21.758	-0.01419	-0.89954	-0.43576	-0.02512	22.9	10080.1.3	100
2025-3-13 23:54:4.663	WTyyyy(CC4B99849B02)	0.155	-0.070	-0.909	3.906	-4.944	459.717	-177.75	-0.45	-51.48	3.800	-29.758	21.758	0.02057	-0.70135	0.71240	-0.00546	22.9	10080.1.3	100
2025-3-13 23:54:4.784	WTyyyy(CC4B99849B02)	0.157	-0.065	-0.931	-2.930	1.526	456.604	-177.99	1.33	-95.15	3.800	-29.758	21.758	0.02057	-0.70135	0.71240	-0.00546	22.9	10080.1.3	100
2025-3-13 23:54:4.874	WTyyyy(CC4B99849B02)	0.146	-0.046	-0.966	8.606	-11.780	395.691	-178.56	2.72	-135.66	3.800	-29.758	21.758	0.02057	-0.70135	0.71240	-0.00546	22.9	10080.1.3	100
2025-3-13 23:54:4.993	WTyyyy(CC4B99849B02)	0.118	-0.013	-1.003	15.747	-4.456	278.076	-179.19	3.43	-171.23	4.533	9.450	22.183	0.02057	-0.70135	0.71240	-0.00546	22.9	10080.1.3	100
2025-3-13 23:54:5.55	WTyyyy(CC4B99849B02)	0.123	-0.007	-1.040	1.526	0.916	124.817	179.88	2.86	167.03	4.533	9.450	22.183	0.02472	0.15750	0.98715	-0.00296	22.9	10080.1.3	100
2025-3-13 23:54:5.205	WTyyyy(CC4B99849B02)	0.130	0.008	-1.065	-4.089	-9.583	-53.162	179.81	2.94	162.37	4.533	9.450	22.183	0.02472	0.15750	0.98715	-0.00296	22.9	10080.1.3	100
2025-3-13 23:54:5.264	WTyyyy(CC4B99849B02)	0.155	-0.005	-1.088	-0.061	7.446	-224.060	-179.71	2.17	175.21	3.933	9.892	22.617	0.02472	0.15750	0.98715	-0.00296	22.9	10080.1.3	100
2025-3-13 23:54:5.384	WTyyyy(CC4B99849B02)	0.162	-0.044	-1.087	-9.521	1.099	-396.912	-179.88	0.89	-155.92	3.933	9.892	22.617	0.02472	0.15750	0.98715	-0.00296	22.9	10080.1.3	100
2025-3-13 23:54:5.474	WTyyyy(CC4B99849B02)	0.169	-0.050	-1.086	-2.808	6.104	-485.046	-179.82	-0.27	-113.43	3.933	9.892	22.617	-0.01337	-0.84662	0.53192	-0.00143	22.9	10080.1.3	100
2025-3-13 23:54:5.594	WTyyyy(CC4B99849B02)	0.148	-0.091	-1.056	-8.789	7.202	-512.695	178.71	-0.95	-61.63	3.933	9.892	22.617	-0.01337	-0.84662	0.53192	-0.00143	22.9	10080.1.3	100
2025-3-13 23:54:5.684	WTyyyy(CC4B99849B02)	0.120	-0.075	-1.032	1.160	14.465	-471.069	178.35	-1.00	-10.64	3.933	9.892	22.617	-0.01337	-0.84662	0.53192	-0.00143	22.9	10080.1.3	100
2025-3-13 23:54:5.807	WTyyyy(CC4B99849B02)	0.088	-0.087	-0.990	-2.502	8.301	-368.225	177.31	-1.14	31.89	9.833	-29.350	21.750	-0.01337	-0.84662	0.53192	-0.00143	22.9	10080.1.3	100
2025-3-13 23:54:5.865	WTyyyy(CC4B99849B02)	0.068	-0.042	-0.961	1.526	7.080	-213.318	177.77	-1.13	60.38	9.833	-29.350	21.750	-0.01135	-0.81549	-0.57800	-0.02600	22.9	10080.1.3	100
2025-3-13 23:54:5.984	WTyyyy(CC4B99849B02)	0.086	-0.065	-0.930	-3.052	5.554	-29.236	177.14	-1.84	71.42	9.833	-29.350	21.750	-0.01135	-0.81549	-0.57800	-0.02600	22.9	10080.1.3	100
2025-3-13 23:54:6.74	WTyyyy(CC4B99849B02)	0.101	-0.056	-0.907	8.301	-5.737	163.452	178.21	-2.20	63.62	19.275	-23.883	21.933	-0.01135	-0.81549	-0.57800	-0.02600	22.9	10080.1.3	100
2025-3-13 23:54:6.194	WTyyyy(CC4B99849B02)	0.132	-0.062	-0.906	6.958	-2.625	335.449	-179.64	-2.51	37.64	19.275	-23.883	21.933	-0.01135	-0.81549	-0.57800	-0.02600	22.9	10080.1.3	100
2025-3-13 23:54:6.285	WTyyyy(CC4B99849B02)	0.176	-0.090	-0.906	0.916	-6.470	469.177	-178.02	-1.31	-2.99	19.275	-23.883	21.933	-0.01135	-0.81549	-0.57800	-0.02600	22.9	10080.1.3	100
2025-3-13 23:54:6.403	WTyyyy(CC4B99849B02)	0.183	-0.093	-0.919	-0.549	-14.954	539.429	-177.80	1.90	-52.33	19.275	-23.883	21.933	0.02448	-0.89703	0.44113	0.00644	22.9	10080.1.3	100
2025-3-13 23:54:6.464	WTyyyy(CC4B99849B02)	0.168	-0.086	-0.950	17.029	-10.559	543.823	-179.26	3.53	-103.88	19.275	-23.883	21.933	0.02448	-0.89703	0.44113	0.00644	22.9	10080.1.3	100
2025-3-13 23:54:6.614	WTyyyy(CC4B99849B02)	0.143	-0.053	-0.979	9.766	-0.488	475.403	179.20	3.30	-152.36	-3.258	6.108	22.267	0.02448	-0.89703	0.44113	0.00644	22.9	10080.1.3	100
2025-3-13 23:54:6.674	WTyyyy(CC4B99849B02)	0.128	-0.017	-1.020	5.615	-4.211	343.994	178.19	1.88	165.03	-3.258	6.108	22.267	0.02448	-0.89703	0.44113	0.00644	22.9	10080.1.3	100
2025-3-13 23:54:6.794	WTyyyy(CC4B99849B02)	0.127	0.007	-1.048	7.141	-12.878	164.612	178.05	1.48	138.71	-3.258	6.108	22.267	0.01843	0.37009	0.92871	0.01074	22.9	10080.1.3	100
2025-3-13 23:54:6.914	WTyyyy(CC4B99849B02)	0.137	0.007	-1.072	7.568	4.517	-38.879	178.41	1.16	132.32	-3.258	6.108	22.267	0.01843	0.37009	0.92871	0.01074	22.9	10080.1.3	100
2025-3-13 23:54:7.4	WTyyyy(CC4B99849B02)	0.168	-0.006	-1.087	-4.272	-0.183	-278.137	178.35	0.80	146.51	17.242	6.733	22.525	0.01843	0.37009	0.92871	0.01074	22.9	10080.1.3	100
2025-3-13 23:54:7.94	WTyyyy(CC4B99849B02)	0.193	-0.040	-1.085	-2.380	10.071	-442.139	178.46	1.08	179.33	17.242	6.733	22.525	0.01843	0.37009	0.92871	0.01074	22.9	10080.1.3	100
2025-3-13 23:54:7.214	WTyyyy(CC4B99849B02)	0.190	-0.079	-1.072	-16.113	10.437	-549.744	178.20	0.75	-133.84	17.242	6.733	22.525	-0.00055	-0.41367	0.91022	0.01730	22.9	10080.1.3	100
2025-3-13 23:54:7.274	WTyyyy(CC4B99849B02)	0.164	-0.083	-1.045	2.686	11.963	-587.402	179.09	0.90	-74.97	17.242	6.733	22.525	-0.00055	-0.41367	0.91022	0.01730	22.9	10080.1.3	100
2025-3-13 23:54:7.394	WTyyyy(CC4B99849B02)	0.131	-0.109	-1.014	-5.676	9.033	-547.607	179.17	-0.21	-16.15	-3.700	-27.525	21.925	-0.00055	-0.41367	0.91022	0.01730	22.9	10080.1.3	100
2025-3-13 23:54:7.484	WTyyyy(CC4B99849B02)	0.097	-0.075	-0.982	0.000	17.700	-435.242	179.27	-1.13	33.62	-3.700	-27.525	21.925	-0.00055	-0.41367	0.91022	0.01730	22.9	10080.1.3	100
