time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-03-13 23:54:01.515	WTyyyy(CC4B99849B02)	-0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.535	WTyyyy(CC4B99849B02)	-0.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.555	WTyyyy(CC4B99849B02)	-0.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.575	WTyyyy(CC4B99849B02)	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.595	WTyyyy(CC4B99849B02)	0.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.615	WTyyyy(CC4B99849B02)	0.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.635	WTyyyy(CC4B99849B02)	0.231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.655	WTyyyy(CC4B99849B02)	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.675	WTyyyy(CC4B99849B02)	0.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.695	WTyyyy(CC4B99849B02)	0.464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.715	WTyyyy(CC4B99849B02)	0.509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.735	WTyyyy(CC4B99849B02)	0.613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.755	WTyyyy(CC4B99849B02)	0.568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.775	WTyyyy(CC4B99849B02)	0.673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.795	WTyyyy(CC4B99849B02)	0.681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.815	WTyyyy(CC4B99849B02)	0.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.835	WTyyyy(CC4B99849B02)	0.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.855	WTyyyy(CC4B99849B02)	0.706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.875	WTyyyy(CC4B99849B02)	0.773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.895	WTyyyy(CC4B99849B02)	0.537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.915	WTyyyy(CC4B99849B02)	0.491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.935	WTyyyy(CC4B99849B02)	0.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.955	WTyyyy(CC4B99849B02)	0.415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.975	WTyyyy(CC4B99849B02)	0.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.995	WTyyyy(CC4B99849B02)	0.215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.015	WTyyyy(CC4B99849B02)	-0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.035	WTyyyy(CC4B99849B02)	-0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.055	WTyyyy(CC4B99849B02)	-0.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.075	WTyyyy(CC4B99849B02)	-0.326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.095	WTyyyy(CC4B99849B02)	-0.604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.115	WTyyyy(CC4B99849B02)	-0.637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.135	WTyyyy(CC4B99849B02)	-0.834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.155	WTyyyy(CC4B99849B02)	-0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.175	WTyyyy(CC4B99849B02)	-1.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.195	WTyyyy(CC4B99849B02)	-1.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.215	WTyyyy(CC4B99849B02)	-1.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.235	WTyyyy(CC4B99849B02)	-1.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.255	WTyyyy(CC4B99849B02)	-1.235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.275	WTyyyy(CC4B99849B02)	-1.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.295	WTyyyy(CC4B99849B02)	-1.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.315	WTyyyy(CC4B99849B02)	-1.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.335	WTyyyy(CC4B99849B02)	-1.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.355	WTyyyy(CC4B99849B02)	-0.882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.375	WTyyyy(CC4B99849B02)	-0.885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.395	WTyyyy(CC4B99849B02)	-0.614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.415	WTyyyy(CC4B99849B02)	-0.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.435	WTyyyy(CC4B99849B02)	-0.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.455	WTyyyy(CC4B99849B02)	-0.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.475	WTyyyy(CC4B99849B02)	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.495	WTyyyy(CC4B99849B02)	0.155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.515	WTyyyy(CC4B99849B02)	0.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.535	WTyyyy(CC4B99849B02)	0.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.555	WTyyyy(CC4B99849B02)	0.806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.575	WTyyyy(CC4B99849B02)	0.923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.595	WTyyyy(CC4B99849B02)	1.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.615	WTyyyy(CC4B99849B02)	1.261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.635	WTyyyy(CC4B99849B02)	1.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.655	WTyyyy(CC4B99849B02)	1.501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.675	WTyyyy(CC4B99849B02)	1.545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.695	WTyyyy(CC4B99849B02)	1.608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.715	WTyyyy(CC4B99849B02)	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.735	WTyyyy(CC4B99849B02)	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.755	WTyyyy(CC4B99849B02)	1.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.775	WTyyyy(CC4B99849B02)	1.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.795	WTyyyy(CC4B99849B02)	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:02.815	WTyyyy(CC4B99849B02)	1.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
